id;tipo_inspeccion;fecha;fecha_hora_utc;titulo;descripcion;realizado;priodidad
1;CARRETERA_VIAL;2020-03-22;2020-03-22T21:05:09;Advanced Fish;Auto Loan Account;false;97343
2;GANADERA;2020-03-22;2020-03-22T05:18:02;bluetooth;THX Central application;false;7415
3;CARRETERA_POLICIAL;2020-03-22;2020-03-22T16:43:06;global Auto Loan Account Beauty;Creative clicks-and-mortar;true;20730
4;AGRICOLA;2020-03-22;2020-03-22T05:52:07;implement;iterate Central African Republic;false;4011
5;CARRETERA_VIAL;2020-03-22;2020-03-22T06:45:29;one-to-one transform;RSS;false;4531
6;AGRICOLA;2020-03-22;2020-03-22T20:27:14;Proactive payment system;Vermont Facilitator;true;96713
7;CARRETERA_VIAL;2020-03-22;2020-03-22T02:19:41;Tunnel silver Buckinghamshire;asymmetric heuristic;true;29810
8;AGRICOLA;2020-03-22;2020-03-22T04:57:25;conglomeration;Rubber optical Harbors;true;6686
9;AGRICOLA;2020-03-22;2020-03-23T00:14:11;Re-engineered Compatible;invoice JSON;false;14680
10;CARRETERA_POLICIAL;2020-03-22;2020-03-22T11:23:37;communities;Tools;true;2528
