id;observacion;tipo_inspeccion;recomendacion;fecha;fecha_hora_utc
1;mobile Industrial Norwegian Krone;CARRETERA_POLICIAL;Dynamic Web;2020-03-22;2020-03-23T00:20:30
2;Principal 4th generation;CARRETERA_POLICIAL;framework Borders;2020-03-22;2020-03-23T00:04:48
3;engage parallelism;GANADERA;portal;2020-03-22;2020-03-22T06:55:43
4;Rustic Plastic Car embrace Buckinghamshire;AGRICOLA;deposit;2020-03-22;2020-03-22T01:56:16
5;Cheese Sausages Towels;AGRICOLA;hack;2020-03-22;2020-03-22T05:15:06
6;user-centric;AGRICOLA;bypass;2020-03-22;2020-03-22T14:39:15
7;Shirt;CARRETERA_POLICIAL;Health haptic;2020-03-22;2020-03-22T20:56:10
8;web-readiness;AGRICOLA;hard drive Manager;2020-03-22;2020-03-22T18:57:28
9;integrated Chips Tasty Frozen Towels;CARRETERA_VIAL;North Korean Won;2020-03-22;2020-03-22T11:43:29
10;database Buckinghamshire National;GANADERA;methodologies Credit Card Account payment;2020-03-22;2020-03-23T00:15:57
