id;id_user;login;nombre
1;Mouse;Checking Account Turks and Caicos Islands;Identity
2;Sleek Unbranded Rubber Computer;mission-critical bleeding-edge Gloves;Shoes Guinea
3;Outdoors Savings Account;Baby;Brunei Dollar overriding Swiss Franc
4;Wyoming definition synthesize;solution-oriented;online withdrawal
5;Savings Account communities;Interactions;Rustic Surinam Dollar Libyan Arab Jamahiriya
6;deposit payment;Metal;Refined parse
7;Architect vertical;Home Loan Account maximize Branding;Awesome Optimization
8;neutral bypass;calculate convergence enterprise;Unbranded Shoes paradigms
9;compressing attitude-oriented;compressing dot-com;back-end orchid Bahraini Dinar
10;Brooks SMTP Intelligent;Accounts;yellow generate Robust
