id;altitud;latitud;longitud;nombre
1;Handcrafted Fresh Computer Home Loan Account Accounts;Investment Account;hacking;maximize Phased Handmade
2;Movies Home Loan Account Unbranded Rubber Table;Trinidad and Tobago;HTTP Chief;Senior mindshare Rustic
3;Boliviano Mvdol;Connecticut interface;Dalasi Towels;synthesize Investment Account
4;Soap Norwegian Krone;Djibouti Franc Architect Centers;Soap;Automotive Buckinghamshire
5;Personal Loan Account South Carolina;embrace;Steel Computers azure;focus group RSS
6;Infrastructure;Sports AI deliver;French Guiana;Corporate
7;Generic Frozen Pizza;disintermediate SDD;Sleek;withdrawal
8;Czech Koruna;Ergonomic Refined Plastic Chips Upgradable;Iran Awesome;firewall Producer
9;Marketing Hryvnia deposit;Operations;Senior;Home Loan Account
10;Computer;infomediaries Wyoming;Practical Frozen Mouse unleash;COM connecting
